City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,bamboo flat,11.7,92.7167,296.2,94,23,1.03,IN,1707343002
233,haiku-pauwela,20.9219,-156.3051,298.85,62,20,11.83,US,1707343002
234,lazaro cardenas,17.9583,-102.2,301.4,59,4,5.02,MX,1707343002
235,tura,25.5198,90.2201,284.01,42,0,1.39,IN,1707343003
236,luang namtha,20.9497,101.4011,287.83,67,0,0.49,LA,1707343003
237,meulaboh,4.1363,96.1285,298.23,88,38,1.53,ID,1707343003
238,doma,8.3833,8.35,300.95,19,98,1.65,NG,1707343003
239,el calafate,-50.3408,-72.2768,285.1,55,27,9.03,AR,1707343003
240,udachny,66.4167,112.4,243.21,100,100,1.08,RU,1707343003
241,ta`u,-14.2336,-169.5144,301.14,85,100,12.23,AS,1707343003
242,lata,40.1629,-8.3327,289.16,91,100,2.86,PT,1707343003
243,sharjah,25.3573,55.4033,291.14,59,0,3.6,AE,1707343003
244,dompu,-8.5356,118.4622,297.23,93,96,0.73,ID,1707343003
245,burela de cabo,43.65,-7.4,289.36,66,100,5.67,ES,1707343003
246,ust-tsilma,65.441,52.1498,256.82,97,100,3.13,RU,1707343004
247,mammoth lakes,37.6485,-118.9721,272.55,73,75,5.66,US,1707343004
248,sandnessjoen,66.0217,12.6316,271.21,93,100,2.03,NO,1707343004
249,pacocha,-17.5833,-71.3333,300.23,65,0,5.14,PE,1707343004
250,port saint john's,-31.6229,29.5448,294.61,82,79,3.69,ZA,1707343004
251,merizo village,13.2658,144.6691,298.14,82,100,7.17,GU,1707343004
252,capao bonito,-24.0058,-48.3494,297.55,63,77,2.96,BR,1707343004
253,gizo,-8.103,156.8419,301.69,80,100,7.44,SB,1707343004
254,pimentel,-6.8367,-79.9342,304.31,51,0,8.75,PE,1707343004
255,smithers,54.7804,-127.1743,270.33,86,75,2.06,CA,1707343005
256,mermoz boabab,14.7065,-17.4758,300.46,57,0,3.09,SN,1707343005
257,freetown,8.484,-13.2299,298.69,87,10,3.49,SL,1707343005
258,myitkyina,25.3833,97.4,285.72,93,27,1.34,MM,1707343005
259,argostolion,38.1811,20.489,285.79,56,100,3.66,GR,1707343005
260,cifteler,39.3831,31.0392,280.59,66,98,2.05,TR,1707343005
261,harnai,30.1005,67.9374,284.2,41,0,1.2,PK,1707343006
262,lewistown,40.5992,-77.5714,282.82,37,0,2.06,US,1707343006
263,long beach,33.767,-118.1892,289.47,71,100,7.2,US,1707343006
264,callao,-12.0667,-77.15,301.31,61,0,6.17,PE,1707343006
